5,1.9997E-20
5.0115,1.9462E-20
5.0231,1.8942E-20
5.0347,1.8437E-20
5.0463,1.7946E-20
5.0579,1.7469E-20
5.0696,1.7005E-20
5.0813,1.6555E-20
5.093,1.6117E-20
5.1047,1.5691E-20
5.1165,1.5277E-20
5.1283,1.4875E-20
5.1401,1.4484E-20
5.152,1.4104E-20
5.1639,1.3734E-20
5.1758,1.3375E-20
5.1877,1.3026E-20
5.1997,1.2686E-20
5.2117,1.2355E-20
5.2237,1.2034E-20
5.2357,1.1722E-20
5.2478,1.1418E-20
5.2599,1.1122E-20
5.272,1.0835E-20
5.2842,1.0555E-20
5.2964,1.0283E-20
5.3086,1.0018E-20
5.3208,9.7607E-21
5.3331,9.5103E-21
5.3454,9.2666E-21
5.3577,9.0295E-21
5.3701,8.7988E-21
5.3825,8.5744E-21
5.3949,8.3559E-21
5.4073,8.1434E-21
5.4198,7.9365E-21
5.4323,7.7352E-21
5.4448,7.5393E-21
5.4574,7.3487E-21
5.4699,7.1631E-21
5.4826,6.9824E-21
5.4952,6.8066E-21
5.5079,6.6354E-21
5.5206,6.4688E-21
5.5333,6.3066E-21
5.5461,6.1487E-21
5.5589,5.995E-21
5.5717,5.8453E-21
5.5845,5.6996E-21
5.5974,5.5577E-21
5.6103,5.4195E-21
5.6232,5.285E-21
5.6362,5.154E-21
5.6492,5.0264E-21
5.6622,4.9022E-21
5.6753,4.7812E-21
5.6884,4.6634E-21
5.7015,4.5486E-21
5.7146,4.4369E-21
5.7278,4.328E-21
5.741,4.222E-21
5.7543,4.1187E-21
5.7675,4.0181E-21
5.7808,3.9201E-21
5.7942,3.8246E-21
5.8075,3.7316E-21
5.8209,3.641E-21
5.8343,3.5528E-21
5.8478,3.4668E-21
5.8613,3.383E-21
5.8748,3.3014E-21
5.8884,3.2218E-21
5.9019,3.1443E-21
5.9155,3.0688E-21
5.9292,2.9953E-21
5.9429,2.9236E-21
5.9566,2.8537E-21
5.9703,2.7856E-21
5.9841,2.7193E-21
5.9979,2.6546E-21
6.0117,2.5916E-21
6.0256,2.5302E-21
6.0394,2.4703E-21
6.0534,2.412E-21
6.0673,2.3551E-21
6.0813,2.2997E-21
6.0954,2.2457E-21
6.1094,2.1931E-21
6.1235,2.1418E-21
6.1376,2.0917E-21
6.1518,2.043E-21
6.166,1.9955E-21
6.1802,1.9491E-21
6.1944,1.904E-21
6.2087,1.86E-21
6.223,1.817E-21
6.2374,1.7752E-21
6.2518,1.7344E-21
6.2662,1.6947E-21
6.2806,1.6559E-21
6.2951,1.6181E-21
6.3096,1.5812E-21
6.3242,1.5453E-21
6.3388,1.5103E-21
6.3534,1.4762E-21
6.368,1.4429E-21
6.3827,1.4104E-21
6.3974,1.3788E-21
6.4122,1.3479E-21
6.427,1.3178E-21
6.4418,1.2885E-21
6.4566,1.2599E-21
6.4715,1.232E-21
6.4865,1.2048E-21
6.5014,1.1783E-21
6.5164,1.1524E-21
6.5314,1.1272E-21
6.5465,1.1027E-21
6.5616,1.0787E-21
6.5767,1.0553E-21
6.5919,1.0326E-21
6.6071,1.0103E-21
6.6223,9.8868E-22
6.6376,9.6756E-22
6.6529,9.4697E-22
6.6682,9.2689E-22
6.6836,9.0732E-22
6.699,8.8823E-22
6.7145,8.6962E-22
6.73,8.5148E-22
6.7455,8.3378E-22
6.761,8.1654E-22
6.7766,7.9972E-22
6.7923,7.8332E-22
6.8079,7.6734E-22
6.8236,7.5175E-22
6.8394,7.3656E-22
6.8551,7.2174E-22
6.8709,7.073E-22
6.8868,6.9323E-22
