event_time,duration
1238239339.6875,0.634769976139069
1238166264.77344,4.0
1238294263.02344,0.1875
1238265918.46094,1.59375
1238265914.11719,4.125
1238294266.27344,0.360839992761612
1238265921.10156,4.625
1238294281.99219,0.286870002746582
1238294260.33594,0.1875
1238294277.64844,0.3125
1238294282.53906,0.25
1238294262.49219,2.125
1238350991.55469,1.34876000881195
1238294283.07031,0.15625
1238350801.92969,5.0
1238294271.14844,0.1875
1238809333.28125,0.375
1238412079.45312,0.90625
1238351079.77344,0.375
1238719181.45312,1.91602003574371
